Feature ID	Taxon	Confidence
89cbe3f98539204c68b71e11ace57670	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__	0.8665778695759815
c1e22fceefc9cdb560565df893c0f7bf	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera;s__	0.9960846977135346
d38a811360b907b976c54532217cf00f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.7490945362288779
ba41aa437ffad8d1792c6b67402e7a85	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__	0.9911366217907919
4dee3cd194bdc2c202e695b695fcedd7	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__uncultured;s__	0.8458461769856908
c9b182bfcf8794bbf31eb717ec80215e	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured;s__	0.962330679313745
dbc7b6bc64d7184cc0e8f56a391ccd87	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__	0.9170749831978784
f8119db23244cad00bfddec7a80fb161	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	0.9946745968112909
40045c85a0f11be2eefe0b32adb76fb7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__wb1-P19;s__	0.969394621801951
d1837bd2164bfa2e4c69170efc4c2279	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinophytocola;s__	0.8732862678518216
da21703c61673bd49877c4dc3239309c	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1;s__	0.9999694827738909
d11fd106956321f7010c8f7b9da4390b	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured;g__uncultured;s__	0.990548883613881
4f52ef70709f6baf6ff9e9409f25d251	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured;s__	0.998313535632399
bdb152823a97308c1f049837f0cf13db	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;s__	0.9924139122078053
14440ff99dac4bafa3c3a275dde92935	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__	0.9933847263189703
a5cbc16274023938dd533ee314a0aee6	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	0.8617876020986663
c05a75b84137bf0aee32f934f85d3fb5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae	0.9432199268678445
cce2171f35b1e589c529720a3bdd67a9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.9999960566377385
28aadde4a14a67b52d7d18a5e0e915c1	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__	0.9778273051366799
0cc8a757bb0e5fa69e7677e5b4f7f8ab	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0.970976719377652
82bd79dc4db9e3681c376c90b1604fa8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.9981122175366445
9b93b0042b0a3fba92a57224122cea67	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	0.9998451741763135
4a1ec98cc7ff0ef48101703547317344	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Glycomyces;s__	0.9996623362675857
7dec4965667333a9713582024a0ce4d7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__	0.9812561360395287
5ae984a77628c6893c56473778f39bd7	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__	0.9603332797531727
c7e34fe205d2be967ae909136d769ba0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	0.9265448945404928
ed9968f6b36166706e5309496bca8670	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;s__	0.7363631543712612
2850152e9029b6d465c566c0b9439c47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella;s__	0.7300985542936771
efb42eeec38477328c8d0047db95aeaa	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__	0.9710261550692652
f5cfb950631a0fc8c1d8f4931f15e2bb	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__	0.8145453893276224
d6926b9a80c0cad15d1577390ca5fa1f	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured;s__	0.935188868515977
bd2427af1559a8cd3a6839d86776dd55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__env.OPS_17;s__	0.9989680724073514
d866c166e935302c089602fad13adbb8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	0.9999717843122284
2af0867af9c7fe84e71bae899effb3b3	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__	0.9987726573621739
530d6b1785a52a007379eb2f9239a56d	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Tellurimicrobium;s__	0.9395876604011474
abf03a1adafae45519bb6d9804982798	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella;s__	0.9988766164442108
a41c121200a87e7f0fbc9d7447c01fdd	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;s__	0.9992343223700832
ec8c9f62bc1e19e8789739af924c49c0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__	0.9346388904882139
c6a6705874a49360a01c2b3fd39fe900	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14;s__	0.939998451884612
eb20c1f9b35d2eee534963a5e95f4d1e	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured;s__	0.9994925658538313
0e3912d8d825647b288063148afabe9a	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__uncultured;s__	0.8961129146855464
f148327714ec61657740ecd597133bc9	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__	0.9999675723392732
ab629e60faab5b6e45bbfa26f0170856	d__Bacteria	0.9999897294405498
c3bd77a0f6486c74b4b713ce8a5f285b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Anseongella;s__	0.9999964230159887
9096ea998e7a08d3d985ee5d89e26ba9	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__	0.9681283883009364
6e4d034e4b967b745639f825dc73ebe6	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__	0.9768784736778858
dbaaec51eeca49cb19d683ec4ed2ea7a	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;s__	0.9999333513664134
31a1e59e19573cb1bf50fb3c04f95c88	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kibdelosporangium;s__	0.8674766535101881
71826ff1fc1c26e2bdac7ff63f523c91	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__	0.9980740099302049
352875c83f4adf659984d683666d2038	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	0.812245304898023
4751d14ceac1b40af3164091d4befef0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__	0.9951506514232897
ebae8b5d104a84994cefd775af965d48	d__Bacteria;p__Chloroflexi;c__AD3;o__AD3;f__AD3;g__AD3;s__	0.9803300954165151
b084a452de099225986327c2ebd3454b	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14;s__	0.9157044744846026
62dde5be965f02855822c7099f1b6aa2	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	0.9993404741755965
3c703f115aed582b555318859da983da	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.9658159617936547
b527a467eb3b739196827a151c4f9c30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__	0.7122977923986934
0315e6f7a3f7c331bc0cec65134f53c8	d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96;s__	0.9972512960957118
9279403ab31c9b2574b09cef10f08586	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus;s__	0.9942350573227401
3006e493917aba81055ab08cdc920dac	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.9052549427277786
14a7b061e94506a22f6c2e448b4810d7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured;g__uncultured;s__	0.850423744041253
d77495f5ee973c882fee45fc5fbf77a5	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__	0.9945255637795
8440e35caf355a51c30dd3fac4d7658c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured;s__	0.8758011465526805
58bff7fe799e21d15a0d2891a44e60d2	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Glycomyces;s__	0.9999835576673236
1f039ad557a5f14538c140746431d22f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0.9991194779761106
9537c343f54aa56f292a9c9c52dbaba1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;s__	0.998634933610801
4af45d65e7c6db259c975ec3cdc0ae11	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella;s__	0.9999931701549549
5327c9092236aa20ecbef2438984f000	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__	0.9999790806078244
f6c10a04d57159c0d64d6bc30c677471	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	0.8363182226404335
12d24bd3c66333175091cc8d9eba61cd	d__Bacteria;p__Chloroflexi;c__Anaerolineae	0.8780583371282908
3054bb993f4f678fdb73176ef2675e29	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae	0.9998899359668662
9f749640ff795e2ec00098305514bac6	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__	0.7939848665796065
476ca54c0b962e7b62e01fb0fc01890f	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales	0.8987670774865814
f1998b7237e46551e0b93accaf98dd7f	d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108;s__	0.9741804257317245
40b5e61feb3e2ee3b6b3ab77797e14b0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	0.7050401101440688
409faa5f5353e543bf6d99125c7c0e83	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.9979308579706163
6d45a0e1c53bfcd8b5285a7793ebbdae	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured;s__	0.8174278777147463
349a3fe9ea1dbb78b09bcb2ed7be9b9e	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	0.853674441087466
8eb2ff504e6159773f4ae4c192637c74	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__	0.9992700155092749
e043936a0f7ec9177eaaf79e4bbe8631	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__wb1-P19;s__	0.8778149097979154
f922bb836523db0b8e265a464de54690	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	0.9680302928865582
45e4364ffb37868633b53e176d598b5e	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14;s__	0.8596588947125494
cf8527ab06525df71af232b40bd43a82	d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108;s__	0.9841957860141638
d44358b08d44c4efb4142f41bcf54cb6	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera;s__	0.9981187171449579
f35e82529d697d829afc4c4dd9a46164	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	0.9999998365142339
8a69477258e91739e2b780b8dff1ce53	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__	0.7060253866270416
e54fca6f1a506bfe90b8506cfa87ad1b	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__	0.9999402538037774
6466aa53adc18d74c66bfebb47d6c1fb	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.9746679101088604
2fe6627beef14dac525bc531d74f3463	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__	0.9478222498831325
e91a1446c70f605be06a59c200c30ef5	d__Bacteria	0.9994340678285513
7105bd3f7e2806f37ec3f83f0698317b	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__	0.8318655072084848
896fb236b8c1befaf83dc22ddafebff9	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__	0.876637063336832
e1b9495f82b05c4ee6c846006f5f29b4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.9958711160096607
