sample_id,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_04,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_07,Atacama_ASV_08,Atacama_ASV_09,Atacama_ASV_10,Atacama_ASV_11,Atacama_ASV_12,Atacama_ASV_13,Atacama_ASV_14,Atacama_ASV_15,Atacama_ASV_16,Atacama_ASV_17,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_20,Atacama_ASV_21,Atacama_ASV_22,Atacama_ASV_23,Atacama_ASV_24,Atacama_ASV_25,Atacama_ASV_26,Atacama_ASV_27,Atacama_ASV_28,Atacama_ASV_29,Atacama_ASV_30,Atacama_ASV_31,Atacama_ASV_32,Atacama_ASV_33,Atacama_ASV_34,Atacama_ASV_35,Atacama_ASV_36,Atacama_ASV_37,total_reads
YUN1609.1,0,286,0,0,0,0,0,0,0,0,0,0,34,12,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465
YUN2029.2,0,0,95,0,0,0,0,0,84,0,0,0,0,10,94,0,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,559
YUN3153.2,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
YUN3153.3,0,0,46,0,0,5,0,0,20,0,0,0,0,4,0,0,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
YUN3259.1.2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,51,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
YUN3259.2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
YUN3259.3,0,0,0,0,0,24,0,48,224,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,547
YUN3346.1,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,405
YUN3346.3,0,0,0,0,0,0,0,40,0,0,164,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
YUN3428.1,24,0,0,0,0,0,34,0,0,0,0,35,0,0,0,0,0,0,0,0,0,30,0,41,37,0,0,0,0,0,10,0,0,0,0,0,0,346
YUN3428.2,0,0,0,0,0,0,0,50,0,0,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,13,0,0,466
YUN3428.3,0,0,0,0,0,0,179,0,0,0,22,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,294
YUN3533.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491
YUN3533.1.2,197,0,0,37,0,29,0,0,0,0,0,30,0,8,0,0,0,0,0,0,0,0,0,15,0,0,0,19,0,0,0,0,0,0,0,0,6,397
YUN3533.1.3,187,0,0,0,27,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387
YUN3533.2,28,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,19,0,0,0,0,7,0,0,4,639
YUN3533.3,47,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,20,37,0,0,0,0,14,0,0,0,434
YUN3856.1.1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422
YUN3856.1.2,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,21,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,500
YUN3856.1.3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,275
YUN3856.2,203,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,0,13,0,0,6,0,0,500
YUN3856.3,0,0,52,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,14,0,0,0,17,0,17,0,0,0,601
