sample_id,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_04,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_07,Atacama_ASV_08,Atacama_ASV_09,Atacama_ASV_10,Atacama_ASV_11,Atacama_ASV_12,Atacama_ASV_13,Atacama_ASV_14,Atacama_ASV_15,Atacama_ASV_16,Atacama_ASV_17,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_20,Other,total_reads
YUN3259.3,0.0,0.0,0.0,0.0,0.0,4.38757,0.0,8.77514,40.95064,0.0,0.0,0.0,0.0,0.0,11.15174,0.0,0.0,0.0,0.0,0.0,34.73492,547
YUN3346.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.14815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.85185,405
YUN3346.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72386,0.0,0.0,43.96783,0.0,0.0,0.0,0.0,0.0,6.16622,0.0,0.0,0.0,39.14209,373
YUN3428.1,6.93642,0.0,0.0,0.0,0.0,0.0,9.82659,0.0,0.0,0.0,0.0,10.11561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.12139,346
YUN3428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72961,0.0,0.0,5.79399,7.51073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.96567,466
YUN3428.3,0.0,0.0,0.0,0.0,0.0,0.0,60.88435,0.0,0.0,0.0,7.48299,6.12245,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30612,294
YUN3533.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83299,0.0,98.16701,491
YUN3533.1.2,49.62217,0.0,0.0,9.3199,0.0,7.30479,0.0,0.0,0.0,0.0,0.0,7.55668,0.0,2.01511,0.0,0.0,0.0,0.0,0.0,0.0,24.18136,397
YUN3533.1.3,48.32041,0.0,0.0,0.0,6.97674,0.0,12.6615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.04134,387
YUN3533.2,4.38185,0.0,0.0,0.0,71.04851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56964,639
YUN3533.3,10.82949,0.0,0.0,0.0,0.0,5.52995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.64055,434
YUN3856.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8436,0.0,0.0,0.0,0.0,0.0,0.0,5.92417,0.0,91.23223,422
YUN3856.1.2,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,46.2,500
YUN3856.1.3,0.0,2.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.09091,275
YUN3856.2,40.6,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,500
YUN3856.3,0.0,0.0,8.65225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6589,0.0,0.0,0.0,0.0,0.0,0.0,1.66389,0.0,85.02496,601
