sample_id,Atacama_ASV_26,Atacama_ASV_13,Atacama_ASV_24,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_21,Atacama_ASV_15,Atacama_ASV_38,Atacama_ASV_04,Atacama_ASV_08,Atacama_ASV_16,Atacama_ASV_30,Atacama_ASV_31,Atacama_ASV_43,Atacama_ASV_07,Atacama_ASV_12,Atacama_ASV_17,Atacama_ASV_29,Atacama_ASV_32,Atacama_ASV_36,Atacama_ASV_37,Atacama_ASV_42,Atacama_ASV_46,Atacama_ASV_51,Atacama_ASV_52,Atacama_ASV_14,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_22,Atacama_ASV_25,Atacama_ASV_35,Atacama_ASV_39,Atacama_ASV_40,Atacama_ASV_41,Atacama_ASV_44,Atacama_ASV_45,Atacama_ASV_47,Atacama_ASV_48,Atacama_ASV_49,Atacama_ASV_50,Atacama_ASV_53,Atacama_ASV_54,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_23,Atacama_ASV_27,Atacama_ASV_28,Atacama_ASV_33,Atacama_ASV_34,total_reads
BAQ4697.1,15,0,0,0,0,0,0,64,0,33,0,0,0,0,0,0,155,0,0,44,0,0,18,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
BAQ4697.2,18,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,36,0,0,45,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,399
BAQ4697.3,20,7,0,0,0,0,0,70,0,32,0,0,0,0,0,0,183,0,0,63,0,0,26,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,664
YUN1005.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578
YUN1005.3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278
YUN1242.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376
YUN1242.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YUN1242.3,0,0,16,0,36,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489
YUN1609.1,0,0,12,0,0,286,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465
YUN2029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN2029.2,0,0,10,0,95,0,0,0,0,0,0,0,46,67,0,0,0,0,0,0,0,0,0,12,0,0,0,84,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559
YUN2029.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YUN3008.1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3008.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YUN3153.2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,190
YUN3153.3,0,5,4,0,46,0,0,0,0,0,0,0,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,334
YUN3184.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3259.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3259.1.2,13,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
YUN3259.1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,47
YUN3259.2,19,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,53,0,182
